name,domain,country,description
Rohlik Group,rohlik.cz,CZ,Online grocery delivery scaling across CEE and DACH
Notino,notino.cz,CZ,Large online beauty/cosmetics retailer expanding across Europe
Kaufland Czech Republic,kaufland.cz,CZ,Hypermarket chain part of Schwarz Group
Albert Ahold Delhaize CZ,albert.cz,CZ,Supermarket chain owned by Ahold Delhaize
Tesco Central Europe,itesco.cz,CZ,Large grocery retailer across CEE
Dr. Max Group,drmax.cz,CZ,Largest CEE pharmacy retail chain
Pilulka Lekarny,pilulka.cz,CZ,Online and offline pharmacy retailer
Mall Group,mall.cz,CZ,E-commerce marketplace operating in CEE
Tiny Local Bakery,tinylocalbakery-demo.cz,CZ,Small single-store bakery (deliberate weak signal)
Garage Startup XYZ,garage-xyz-demo.io,SK,Two-person pre-seed startup (deliberate weak signal)
